id,scrimId,event_type,match_time,round_number,capturing_team,objective_index,point_capture_progress,MapDataId
795,36,point_progress,149.79,1,T_a02bf5e9,2,66.68,56
796,36,point_progress,151.57,1,T_a02bf5e9,2,99.98,56
797,36,point_progress,241.11,1,T_5568bd9d,2,33.59,56
798,36,point_progress,295.88,2,T_f27c3e61,1,33.56,56
799,36,point_progress,297.96,2,T_f27c3e61,1,66.76,56
904,29,point_progress,31.89,1,T_f27c3e61,2,33.38,62
905,29,point_progress,36.45,1,T_f27c3e61,2,66.74,62
906,29,point_progress,133.16,1,T_a02bf5e9,2,33.46,62
907,29,point_progress,134.49,1,T_a02bf5e9,2,66.66,62
908,29,point_progress,166.87,1,T_5568bd9d,2,33.49,62
909,29,point_progress,170.92,1,T_5568bd9d,2,66.77,62
910,29,point_progress,247.03,2,T_f27c3e61,0,33.48,62
911,29,point_progress,248.46,2,T_f27c3e61,0,66.98,62
912,29,point_progress,312.93,2,T_5568bd9d,0,33.38,62
913,29,point_progress,362.02,2,T_5568bd9d,0,33.57,62
914,29,point_progress,363.62,2,T_5568bd9d,0,66.68,62
915,29,point_progress,398.41,2,T_a02bf5e9,0,33.49,62
916,29,point_progress,403.26,2,T_a02bf5e9,0,66.77,62
917,29,point_progress,404.59,2,T_a02bf5e9,0,99.97,62
918,29,point_progress,418.35,2,T_5568bd9d,0,33.37,62
919,29,point_progress,419.72,2,T_5568bd9d,0,66.88,62
920,29,point_progress,500.79,2,T_a02bf5e9,0,33.37,62
921,29,point_progress,502.13,2,T_a02bf5e9,0,66.87,62
922,29,point_progress,540.63,3,T_f27c3e61,1,33.38,62
923,29,point_progress,542.4,3,T_f27c3e61,1,66.68,62
924,29,point_progress,558.73,3,T_5568bd9d,1,33.49,62
925,29,point_progress,560.6,3,T_5568bd9d,1,66.98,62
926,29,point_progress,625.3,3,T_a02bf5e9,1,33.46,62
927,29,point_progress,627.13,3,T_a02bf5e9,1,66.66,62
928,29,point_progress,643.45,3,T_5568bd9d,1,33.59,62
929,29,point_progress,645.2,3,T_5568bd9d,1,66.99,62
930,29,point_progress,45.17,1,T_f27c3e61,2,33.56,63
931,29,point_progress,52.88,1,T_f27c3e61,2,66.65,63
932,29,point_progress,91.93,1,T_5568bd9d,2,33.38,63
933,29,point_progress,93.42,1,T_5568bd9d,2,66.68,63
934,29,point_progress,176.94,1,T_5568bd9d,2,33.37,63
935,29,point_progress,178.73,1,T_5568bd9d,2,66.77,63
936,29,point_progress,344.8,2,T_f27c3e61,0,33.58,63
937,29,point_progress,346.26,2,T_f27c3e61,0,66.68,63
938,29,point_progress,347.67,2,T_f27c3e61,0,99.98,63
939,29,point_progress,409.67,2,T_a02bf5e9,0,33.39,63
940,29,point_progress,415.03,2,T_a02bf5e9,0,66.66,63
