id,scrimId,event_type,match_time,round_number,previous_objective_index,current_objective_index,MapDataId
14270,1113,objective_updated,711.08,2,1,2,4369
14271,1113,objective_updated,862.76,2,2,3,4369
14274,1114,objective_updated,158.87,2,0,1,4372
14275,1114,objective_updated,298.5,3,1,4,4372
14276,1114,objective_updated,495.41,4,4,3,4372
14277,1114,objective_updated,704.84,5,3,2,4372
14278,1114,objective_updated,910.61,6,2,0,4372
14279,1115,objective_updated,0,1,0,2,4373
14280,1115,objective_updated,248.95,2,2,1,4373
14281,1115,objective_updated,506.24,3,1,0,4373
14282,1115,objective_updated,73.93,1,0,1,4374
14283,1115,objective_updated,390.15,2,1,0,4374
14284,1115,objective_updated,499.39,2,0,1,4374
14285,1115,objective_updated,787.35,2,1,2,4374
14301,1115,objective_updated,73.93,1,0,1,4378
14302,1115,objective_updated,390.15,2,1,0,4378
14303,1115,objective_updated,499.39,2,0,1,4378
14304,1115,objective_updated,787.35,2,1,2,4378
14305,1116,objective_updated,0,1,0,1,4379
14306,1116,objective_updated,301.01,2,1,0,4379
14307,1116,objective_updated,512.62,3,0,2,4379
14308,1116,objective_updated,78.14,1,0,1,4380
14309,1116,objective_updated,268.7,1,1,2,4380
14310,1116,objective_updated,360.69,1,2,3,4380
14311,1116,objective_updated,360.69,2,3,0,4380
14312,1116,objective_updated,563.93,2,0,1,4380
14313,1116,objective_updated,702.78,2,1,2,4380
14314,1116,objective_updated,194.56,2,0,4,4381
14315,1116,objective_updated,348.61,3,4,2,4381
14316,1116,objective_updated,548.07,4,2,1,4381
14317,1116,objective_updated,683.66,5,1,3,4381
14318,1116,objective_updated,815.73,6,3,4,4381
14319,1116,objective_updated,109.27,1,0,1,4382
14320,1116,objective_updated,218.37,1,1,2,4382
14321,1116,objective_updated,354.52,1,2,3,4382
14322,1116,objective_updated,354.52,2,3,0,4382
14323,1116,objective_updated,417.3,2,0,1,4382
14324,1116,objective_updated,533.05,2,1,2,4382
14325,1116,objective_updated,696.42,2,2,3,4382
14326,1116,objective_updated,171.36,2,0,2,4384
14327,1116,objective_updated,411.31,3,2,1,4384
14328,1116,objective_updated,0,1,0,2,4385
14329,1116,objective_updated,84.16,1,2,3,4385
14330,1116,objective_updated,126.51,1,3,2,4385
14331,1116,objective_updated,170.03,1,2,3,4385
14332,1116,objective_updated,225.54,1,3,2,4385
14333,1116,objective_updated,274.77,1,2,1,4385
14334,1116,objective_updated,336.61,1,1,0,4385
14335,1116,objective_updated,414.88,1,0,1,4385
14336,1116,objective_updated,458.85,1,1,0,4385
14337,1117,objective_updated,0,1,0,2,4386
14338,1117,objective_updated,176.7,2,2,0,4386
14339,1117,objective_updated,489.99,3,0,1,4386
14340,1118,objective_updated,363.97,2,0,1,4387
14341,1118,objective_updated,482.75,2,1,2,4387
14342,1118,objective_updated,630.6,2,2,3,4387
14349,1118,objective_updated,0,1,0,2,4391
14350,1118,objective_updated,116.91,1,2,1,4391
14351,1118,objective_updated,193.81,1,1,2,4391
14352,1118,objective_updated,236.68,1,2,3,4391
14353,1118,objective_updated,327.43,1,3,4,4391
14354,1118,objective_updated,371.67,1,4,3,4391
14355,1118,objective_updated,472.57,1,3,2,4391
14356,1118,objective_updated,571.11,1,2,3,4391
14357,1118,objective_updated,633.98,1,3,4,4391
14364,1120,objective_updated,79.18,1,0,1,4394
14365,1120,objective_updated,311.59,1,1,2,4394
14366,1120,objective_updated,504.64,2,2,0,4394
14367,1120,objective_updated,664.23,2,0,1,4394
14368,1120,objective_updated,749.02,2,1,2,4394
14369,1120,objective_updated,851.01,2,2,3,4394
14376,1120,objective_updated,128.99,2,0,2,4397
14377,1120,objective_updated,266.47,3,2,4,4397
14378,1120,objective_updated,473.34,4,4,3,4397
14379,1120,objective_updated,588.29,5,3,1,4397
14380,1120,objective_updated,0,1,0,2,4398
14381,1120,objective_updated,50.49,1,2,1,4398
14382,1120,objective_updated,121.48,1,1,0,4398
14383,1120,objective_updated,172.17,1,0,1,4398
14384,1120,objective_updated,236.89,1,1,2,4398
14385,1120,objective_updated,297.59,1,2,1,4398
14386,1120,objective_updated,366.23,1,1,0,4398
14387,1120,objective_updated,421.74,1,0,1,4398
14388,1120,objective_updated,479.82,1,1,0,4398
14393,1120,objective_updated,0,1,0,1,4400
14394,1120,objective_updated,201.54,2,1,2,4400
14395,1120,objective_updated,537.41,3,2,0,4400
14396,1121,objective_updated,121.05,2,0,1,4401
14397,1121,objective_updated,316.08,3,1,3,4401
14398,1121,objective_updated,469.94,4,3,4,4401
14399,1121,objective_updated,589.7,5,4,2,4401
14400,1121,objective_updated,281.29,1,0,1,4402
14401,1121,objective_updated,453.23,1,1,2,4402
14402,1121,objective_updated,566.4,2,2,0,4402
14403,1121,objective_updated,762.9,2,0,1,4402
14404,1121,objective_updated,0,1,0,1,4403
14405,1121,objective_updated,316.03,2,1,0,4403
14406,1121,objective_updated,556.23,3,0,2,4403
14407,1121,objective_updated,271.31,1,0,1,4404
14408,1121,objective_updated,347.41,1,1,2,4404
14409,1121,objective_updated,498.17,1,2,3,4404
14410,1121,objective_updated,498.17,2,3,0,4404
14411,1121,objective_updated,634.25,2,0,1,4404
14412,1121,objective_updated,865.99,2,1,2,4404
14413,1121,objective_updated,963.04,2,2,3,4404
14414,1121,objective_updated,0,1,0,1,4405
14415,1121,objective_updated,293.29,2,1,0,4405
14416,1121,objective_updated,502.99,3,0,2,4405
14420,1122,objective_updated,0,1,0,2,4407
14421,1122,objective_updated,221.47,2,2,0,4407
14422,1122,objective_updated,465.74,3,0,1,4407
14423,1122,objective_updated,144.37,2,0,4,4408
14424,1122,objective_updated,378.66,3,4,2,4408
14425,1122,objective_updated,562.72,4,2,3,4408
14426,1122,objective_updated,730.48,5,3,1,4408
14427,1122,objective_updated,203.01,1,0,1,4409
14428,1122,objective_updated,310.21,1,1,2,4409
14429,1122,objective_updated,494.26,1,2,3,4409
14430,1122,objective_updated,494.27,2,3,0,4409
14431,1122,objective_updated,594.42,2,0,1,4409
14442,1123,objective_updated,200.28,2,0,2,4414
14443,1123,objective_updated,368.7,3,2,3,4414
14444,1123,objective_updated,614.88,4,3,1,4414
14445,1123,objective_updated,812.12,5,1,4,4414
14446,1123,objective_updated,975.1,6,4,2,4414
14447,1123,objective_updated,123.53,1,0,1,4415
14448,1123,objective_updated,297.99,1,1,2,4415
14449,1123,objective_updated,531.38,1,2,3,4415
14450,1123,objective_updated,531.38,2,3,0,4415
14451,1123,objective_updated,604.61,2,0,1,4415
14452,1123,objective_updated,768.44,2,1,2,4415
14453,1123,objective_updated,837.18,2,2,3,4415
14454,1123,objective_updated,128.12,1,0,1,4416
14455,1123,objective_updated,326.43,1,1,2,4416
14456,1123,objective_updated,492.06,2,2,0,4416
14457,1123,objective_updated,634.84,2,0,1,4416
14458,1123,objective_updated,709.48,2,1,2,4416
14459,1123,objective_updated,890.95,2,2,3,4416
14460,1123,objective_updated,0,1,0,2,4418
14461,1123,objective_updated,44.86,1,2,1,4418
14462,1123,objective_updated,92.99,1,1,2,4418
14463,1123,objective_updated,133.23,1,2,3,4418
14464,1123,objective_updated,187.35,1,3,2,4418
14465,1123,objective_updated,319.77,1,2,3,4418
14466,1123,objective_updated,401.29,1,3,4,4418
14467,1123,objective_updated,547,1,4,3,4418
14468,1123,objective_updated,625.87,1,3,4,4418
14471,1124,objective_updated,190.98,2,0,2,4420
14472,1124,objective_updated,461.77,3,2,1,4420
14473,1124,objective_updated,125.8,1,0,1,4421
14474,1124,objective_updated,313.83,1,1,2,4421
14475,1124,objective_updated,519.25,1,2,3,4421
14476,1124,objective_updated,519.25,2,3,0,4421
14477,1124,objective_updated,681.3,2,0,1,4421
14478,1124,objective_updated,798.76,2,1,2,4421
14479,1124,objective_updated,971.94,2,2,3,4421
14480,1124,objective_updated,971.94,3,3,0,4421
14493,1124,objective_updated,133.43,1,0,1,4425
14494,1124,objective_updated,298.12,1,1,2,4425
14495,1124,objective_updated,429.46,1,2,3,4425
14496,1124,objective_updated,429.46,2,3,0,4425
14497,1124,objective_updated,698.37,2,0,1,4425
14498,1124,objective_updated,807.13,2,1,2,4425
14499,1124,objective_updated,0,1,0,2,4426
14500,1124,objective_updated,46.51,1,2,1,4426
14501,1124,objective_updated,105.45,1,1,0,4426
14502,1124,objective_updated,180.54,1,0,1,4426
14503,1124,objective_updated,284.34,1,1,2,4426
14504,1124,objective_updated,349.67,1,2,1,4426
14505,1124,objective_updated,389.2,1,1,0,4426
14506,1124,objective_updated,513.54,1,0,1,4426
14507,1124,objective_updated,589.62,1,1,0,4426
14508,1124,objective_updated,178.03,2,0,2,4427
14509,1124,objective_updated,296.37,3,2,3,4427
14510,1124,objective_updated,415.8,4,3,1,4427
14511,1124,objective_updated,578.01,5,1,4,4427
14512,1124,objective_updated,133.43,1,0,1,4428
