[00:01:39] ;player_status;hypnobeam;Winston;(56.20, -1.92, 9.96)
[00:01:39] ;player_health;hypnobeam;500;500
[00:01:39] ;player_ult;hypnobeam;3;0
[00:01:39] ;player_status;Electric;Brigitte;(94.17, 6.25, 9.58)
[00:01:39] ;player_health;Electric;200;200
[00:01:39] ;player_ult;Electric;1;0
[00:01:39] ;player_status;Catalyst;Ana;(43.30, -1.92, 3.22)
[00:01:39] ;player_health;Catalyst;200;200
[00:01:39] ;player_ult;Catalyst;2;0
[00:01:39] ;player_status;ModWilliam;Ashe;(81.43, 6.25, 16.01)
[00:01:39] ;player_health;ModWilliam;200;200
[00:01:39] ;player_ult;ModWilliam;2;0
[00:01:39] ;player_status;Midreadias;D.Va;(76.66, 6.25, 9.74)
[00:01:39] ;player_health;Midreadias;598.50;600
[00:01:39] ;player_ult;Midreadias;3;0
[00:01:39] ;player_status;MortalWombat;Winston;(73.64, 6.55, 12.47)
[00:01:39] ;player_health;MortalWombat;454.90;500
[00:01:39] ;player_ult;MortalWombat;3;0
[00:01:39] ;player_status;BiggieZ;Tracer;(70.20, -1.50, -5.94)
[00:01:39] ;player_health;BiggieZ;150;150
[00:01:39] ;player_ult;BiggieZ;4;0
[00:01:39] ;player_status;JohnnyB;Ana;(90.97, 6.25, 12.50)
[00:01:39] ;player_health;JohnnyB;200;200
[00:01:39] ;player_ult;JohnnyB;5;0
[00:01:39] ;player_status;jhan;Pharah;(46.91, 12.70, 8.44)
[00:01:39] ;player_health;jhan;200;200
[00:01:39] ;player_ult;jhan;7;0
[00:01:39] ;player_status;seniorcheese;D.Va;(52.81, -1.37, 8.27)
[00:01:39] ;player_health;seniorcheese;600;600
[00:01:39] ;player_ult;seniorcheese;3;0
[00:01:39] ;player_status;Yomi;Mercy;(47.51, 8.31, 8.99)
[00:01:39] ;player_health;Yomi;200;200
[00:01:39] ;player_ult;Yomi;4;0
[00:01:39] ;player_status;burninate;Tracer;(79.44, 6.25, 14.42)
[00:01:39] ;player_health;burninate;150;150
[00:01:39] ;player_ult;burninate;4;0
[00:01:39] ;did_healing;JohnnyB;14;MortalWombat
[00:01:40] ;did_healing;JohnnyB;2.24;MortalWombat
[00:01:40] ;did_healing;JohnnyB;26.88;MortalWombat
[00:01:40] ;did_healing;JohnnyB;1.98;MortalWombat
[00:01:40] ;player_status;hypnobeam;Winston;(57.69, -1.92, 11.67)
[00:01:40] ;player_health;hypnobeam;500;500
[00:01:40] ;player_ult;hypnobeam;3;0
[00:01:40] ;player_status;Electric;Brigitte;(90.46, 6.25, 13.64)
[00:01:40] ;player_health;Electric;200;200
[00:01:40] ;player_ult;Electric;2;0
[00:01:40] ;player_status;Catalyst;Ana;(47.35, -2.17, 6.20)
[00:01:40] ;player_health;Catalyst;200;200
[00:01:40] ;player_ult;Catalyst;2;0
[00:01:40] ;player_status;ModWilliam;Ashe;(86.03, 6.25, 14.96)
[00:01:40] ;player_health;ModWilliam;200;200
