[00:03:38] ;player_ult;MortalWombat;1;0
[00:03:38] ;player_status;Catalyst;Ana;(-94.51, 3.85, -36.99)
[00:03:38] ;player_health;Catalyst;200;200
[00:03:38] ;player_ult;Catalyst;1;0
[00:03:38] ;player_status;seniorcheese;Zarya;(-85.12, 4.26, -43.41)
[00:03:38] ;player_health;seniorcheese;305.59;400
[00:03:38] ;player_ult;seniorcheese;3;0
[00:03:38] ;player_status;Midreadias;Sigma;(-69.21, 3.85, -50.71)
[00:03:38] ;player_health;Midreadias;400;400
[00:03:38] ;player_ult;Midreadias;1;0
[00:03:38] ;player_status;burninate;Ashe;(-45.59, 6.00, -57.22)
[00:03:38] ;player_health;burninate;200;200
[00:03:38] ;player_ult;burninate;3;0
[00:03:38] ;used_ability_1;JohnnyB;Mercy;<Icon>
[00:03:39] ;damage_dealt;Midreadias;55;seniorcheese
[00:03:39] ;used_ability_1;seniorcheese;Zarya;<Icon>
[00:03:39] ;player_status;JohnnyB;Mercy;(-89.08, 20.12, -59.44)
[00:03:39] ;player_health;JohnnyB;200;200
[00:03:39] ;player_ult;JohnnyB;1;0
[00:03:39] ;player_status;BiggieZ;Bastion;(-86.45, 4.00, -63.59)
[00:03:39] ;player_health;BiggieZ;300;300
[00:03:39] ;player_ult;BiggieZ;1;0
[00:03:39] ;player_status;Yomi;Lúcio;(-92.07, 3.85, -38.92)
[00:03:39] ;player_health;Yomi;200;200
[00:03:39] ;player_ult;Yomi;1;0
[00:03:39] ;player_status;teejusb;Pharah;(-89.47, 19.60, -53.34)
[00:03:39] ;player_health;teejusb;200;200
[00:03:39] ;player_ult;teejusb;1;0
[00:03:39] ;player_status;Electric;Baptiste;(-51.00, 5.56, -49.69)
[00:03:39] ;player_health;Electric;200;200
[00:03:39] ;player_ult;Electric;3;0
[00:03:39] ;player_status;jhan;Mei;(-85.20, 4.53, -41.63)
[00:03:39] ;player_health;jhan;250;250
[00:03:39] ;player_ult;jhan;2;0
[00:03:39] ;player_status;hypnobeam;Reinhardt;(-84.46, 3.85, -40.64)
[00:03:39] ;player_health;hypnobeam;550;550
[00:03:39] ;player_ult;hypnobeam;2;0
[00:03:39] ;player_status;MortalWombat;Wrecking Ball;(-78.30, 4.00, -72.08)
[00:03:39] ;player_health;MortalWombat;558;600
[00:03:39] ;player_ult;MortalWombat;2;0
[00:03:39] ;player_status;Catalyst;Ana;(-95.80, 3.85, -37.03)
[00:03:39] ;player_health;Catalyst;200;200
[00:03:39] ;player_ult;Catalyst;1;0
[00:03:39] ;player_status;seniorcheese;Zarya;(-79.29, 3.85, -45.28)
[00:03:39] ;player_health;seniorcheese;256.67;400
[00:03:39] ;player_ult;seniorcheese;3;0
[00:03:39] ;player_status;Midreadias;Sigma;(-65.31, 4.39, -50.38)
[00:03:39] ;player_health;Midreadias;400;400
[00:03:39] ;player_ult;Midreadias;4;0
[00:03:39] ;player_status;burninate;Ashe;(-45.86, 6.00, -56.60)
[00:03:39] ;player_health;burninate;200;200
[00:03:39] ;player_ult;burninate;3;0
[00:03:39] ;damage_dealt;seniorcheese;11.92;Midreadias
[00:03:40] ;did_healing;Catalyst;2.24;seniorcheese
[00:03:40] ;used_ability_2;jhan;Mei;<Icon>
[00:03:40] ;did_healing;Catalyst;26.88;seniorcheese
[00:03:40] ;player_status;JohnnyB;Mercy;(-92.19, 19.94, -56.12)
[00:03:40] ;player_health;JohnnyB;200;200
[00:03:40] ;player_ult;JohnnyB;2;0
[00:03:40] ;player_status;BiggieZ;Bastion;(-82.12, 4.00, -66.83)
[00:03:40] ;player_health;BiggieZ;300;300
[00:03:40] ;player_ult;BiggieZ;1;0
[00:03:40] ;player_status;Yomi;Lúcio;(-85.81, 4.00, -36.82)
[00:03:40] ;player_health;Yomi;200;200
[00:03:40] ;player_ult;Yomi;1;0
[00:03:40] ;player_status;teejusb;Pharah;(-90.66, 20.36, -54.66)
[00:03:40] ;player_health;teejusb;200;200
[00:03:40] ;player_ult;teejusb;1;0
[00:03:40] ;player_status;Electric;Baptiste;(-49.18, 5.03, -48.01)
[00:03:40] ;player_health;Electric;200;200
[00:03:40] ;player_ult;Electric;4;0
[00:03:40] ;player_status;jhan;Mei;(-80.50, 4.82, -45.26)
[00:03:40] ;player_health;jhan;250;250
[00:03:40] ;player_ult;jhan;2;0
[00:03:40] ;player_status;hypnobeam;Reinhardt;(-80.38, 3.85, -43.10)
[00:03:40] ;player_health;hypnobeam;550;550
[00:03:40] ;player_ult;hypnobeam;2;0
[00:03:40] ;player_status;MortalWombat;Wrecking Ball;(-84.88, 4.00, -77.53)
[00:03:40] ;player_health;MortalWombat;558;600
[00:03:40] ;player_ult;MortalWombat;2;0
[00:03:40] ;player_status;Catalyst;Ana;(-95.22, 3.85, -38.68)
[00:03:40] ;player_health;Catalyst;200;200
[00:03:40] ;player_ult;Catalyst;3;0
[00:03:40] ;player_status;seniorcheese;Zarya;(-79.12, 3.85, -44.58)
[00:03:40] ;player_health;seniorcheese;297.31;400
[00:03:40] ;player_ult;seniorcheese;4;0
[00:03:40] ;player_status;Midreadias;Sigma;(-61.29, 3.85, -49.65)
[00:03:40] ;player_health;Midreadias;388.08;400
[00:03:40] ;player_ult;Midreadias;4;0
[00:03:40] ;player_status;burninate;Ashe;(-45.63, 6.04, -56.97)
[00:03:40] ;player_health;burninate;200;200
[00:03:40] ;player_ult;burninate;3;0
[00:03:40] ;did_healing;Catalyst;26.88;seniorcheese
[00:03:40] ;did_healing;Catalyst;14;seniorcheese
[00:03:40] ;did_healing;Electric;11.92;Midreadias
[00:03:41] ;used_ability_1;Catalyst;Ana;<Icon>
[00:03:41] ;damage_dealt;teejusb;48.97;hypnobeam
[00:03:41] ;player_status;JohnnyB;Mercy;(-94.38, 18.02, -59.15)
[00:03:41] ;player_health;JohnnyB;200;200
[00:03:41] ;player_ult;JohnnyB;3;0
[00:03:41] ;player_status;BiggieZ;Bastion;(-81.25, 4.00, -64.84)
[00:03:41] ;player_health;BiggieZ;300;300
[00:03:41] ;player_ult;BiggieZ;1;0
[00:03:41] ;player_status;Yomi;Lúcio;(-79.32, 4.00, -38.60)
[00:03:41] ;player_health;Yomi;200;200
[00:03:41] ;player_ult;Yomi;1;0
[00:03:41] ;player_status;teejusb;Pharah;(-91.45, 21.43, -55.75)
[00:03:41] ;player_health;teejusb;200;200
[00:03:41] ;player_ult;teejusb;4;0
[00:03:41] ;player_status;Electric;Baptiste;(-45.96, 5.70, -46.66)
[00:03:41] ;player_health;Electric;200;200
[00:03:41] ;player_ult;Electric;4;0
[00:03:41] ;player_status;jhan;Mei;(-74.97, 4.82, -49.10)
[00:03:41] ;player_health;jhan;250;250
[00:03:41] ;player_ult;jhan;2;0
[00:03:41] ;player_status;hypnobeam;Reinhardt;(-80.03, 3.85, -45.53)
[00:03:41] ;player_health;hypnobeam;506.63;550
[00:03:41] ;player_ult;hypnobeam;2;0
[00:03:41] ;player_status;MortalWombat;Wrecking Ball;(-85.94, 4.00, -78.71)
[00:03:41] ;player_health;MortalWombat;558;600
[00:03:41] ;player_ult;MortalWombat;2;0
[00:03:41] ;player_status;Catalyst;Ana;(-92.15, 4.00, -36.91)
[00:03:41] ;player_health;Catalyst;200;200
[00:03:41] ;player_ult;Catalyst;5;0
[00:03:41] ;player_status;seniorcheese;Zarya;(-81.36, 4.87, -45.43)
[00:03:41] ;player_health;seniorcheese;342.19;400
[00:03:41] ;player_ult;seniorcheese;4;0
[00:03:41] ;player_status;Midreadias;Sigma;(-58.00, 3.85, -48.85)
[00:03:41] ;player_health;Midreadias;400;400
[00:03:41] ;player_ult;Midreadias;5;0
[00:03:41] ;player_status;burninate;Ashe;(-43.45, 6.47, -54.97)
[00:03:41] ;player_health;burninate;200;200
[00:03:41] ;player_ult;burninate;3;0
[00:03:41] ;damage_dealt;Electric;14.03;hypnobeam
[00:03:41] ;damage_dealt;Electric;13.87;hypnobeam
[00:03:41] ;damage_dealt;Midreadias;16.52;seniorcheese
[00:03:42] ;damage_dealt;Midreadias;15.92;seniorcheese
[00:03:42] ;damage_dealt;teejusb;22.04;teejusb
[00:03:42] ;damage_dealt;Electric;14.15;hypnobeam
[00:03:42] ;damage_dealt;Electric;14.34;hypnobeam
[00:03:42] ;player_status;JohnnyB;Mercy;(-94.46, 17.97, -59.03)
[00:03:42] ;player_health;JohnnyB;200;200
[00:03:42] ;player_ult;JohnnyB;3;0
[00:03:42] ;player_status;BiggieZ;Bastion;(-77.99, 4.00, -61.99)
[00:03:42] ;player_health;BiggieZ;300;300
[00:03:42] ;player_ult;BiggieZ;2;0
[00:03:42] ;player_status;Yomi;Lúcio;(-83.40, 4.00, -38.70)
[00:03:42] ;player_health;Yomi;200;200
[00:03:42] ;player_ult;Yomi;1;0
[00:03:42] ;player_status;teejusb;Pharah;(-92.09, 18.37, -58.14)
[00:03:42] ;player_health;teejusb;177.96;200
[00:03:42] ;player_ult;teejusb;4;0
[00:03:42] ;player_status;Electric;Baptiste;(-50.54, 4.00, -44.39)
[00:03:42] ;player_health;Electric;200;200
[00:03:42] ;player_ult;Electric;7;0
[00:03:42] ;player_status;jhan;Mei;(-73.49, 3.85, -48.79)
[00:03:42] ;player_health;jhan;250;250
[00:03:42] ;player_ult;jhan;3;0
[00:03:42] ;player_status;hypnobeam;Reinhardt;(-81.89, 3.85, -46.08)
[00:03:42] ;player_health;hypnobeam;451.37;550
[00:03:42] ;player_ult;hypnobeam;3;0
[00:03:42] ;player_status;MortalWombat;Wrecking Ball;(-82.85, 4.00, -76.22)
[00:03:42] ;player_health;MortalWombat;558;600
[00:03:42] ;player_ult;MortalWombat;3;0
[00:03:42] ;player_status;Catalyst;Ana;(-91.42, 4.00, -36.19)
[00:03:42] ;player_health;Catalyst;200;200
[00:03:42] ;player_ult;Catalyst;5;0
[00:03:42] ;player_status;seniorcheese;Zarya;(-79.26, 3.94, -47.14)
[00:03:42] ;player_health;seniorcheese;312.95;400
[00:03:42] ;player_ult;seniorcheese;4;0
[00:03:42] ;player_status;Midreadias;Sigma;(-57.76, 3.85, -53.91)
[00:03:42] ;player_health;Midreadias;400;400
[00:03:42] ;player_ult;Midreadias;7;0
[00:03:42] ;player_status;burninate;Ashe;(-40.68, 6.81, -51.78)
[00:03:42] ;player_health;burninate;200;200
[00:03:42] ;player_ult;burninate;3;0
[00:03:42] ;damage_dealt;jhan;75;Midreadias
[00:03:42] ;damage_dealt;Electric;23.23;seniorcheese
[00:03:43] ;used_ability_1;teejusb;Pharah;<Icon>
[00:03:43] ;used_ability_1;BiggieZ;Bastion;<Icon>
[00:03:43] ;did_healing;JohnnyB;11.44;teejusb
[00:03:43] ;damage_dealt;Electric;24;jhan
[00:03:43] ;damage_dealt;Electric;24;jhan
[00:03:43] ;player_status;JohnnyB;Mercy;(-98.59, 16.24, -56.71)
[00:03:43] ;player_health;JohnnyB;200;200
[00:03:43] ;player_ult;JohnnyB;3;0
[00:03:43] ;player_status;BiggieZ;Bastion;(-74.30, 4.96, -66.08)
[00:03:43] ;player_health;BiggieZ;300;300
[00:03:43] ;player_ult;BiggieZ;2;0
[00:03:43] ;player_status;Yomi;Lúcio;(-78.41, 4.26, -41.06)
[00:03:43] ;player_health;Yomi;200;200
[00:03:43] ;player_ult;Yomi;1;0
[00:03:43] ;player_status;teejusb;Pharah;(-95.34, 24.19, -56.11)
[00:03:43] ;player_health;teejusb;189.40;200
[00:03:43] ;player_ult;teejusb;4;0
[00:03:43] ;player_status;Electric;Baptiste;(-52.79, 4.00, -44.10)
[00:03:43] ;player_health;Electric;200;200
[00:03:43] ;player_ult;Electric;10;0
[00:03:43] ;player_status;jhan;Mei;(-67.39, 3.85, -49.73)
[00:03:43] ;player_health;jhan;202;250
[00:03:43] ;player_ult;jhan;8;0
[00:03:43] ;player_status;hypnobeam;Reinhardt;(-77.10, 3.85, -46.21)
[00:03:43] ;player_health;hypnobeam;452.65;550
[00:03:43] ;player_ult;hypnobeam;3;0
[00:03:43] ;player_status;MortalWombat;Wrecking Ball;(-82.63, 4.00, -72.88)
[00:03:43] ;player_health;MortalWombat;558;600
[00:03:43] ;player_ult;MortalWombat;3;0
[00:03:43] ;player_status;Catalyst;Ana;(-96.75, 3.85, -36.50)
[00:03:43] ;player_health;Catalyst;200;200
[00:03:43] ;player_ult;Catalyst;5;0
[00:03:43] ;player_status;seniorcheese;Zarya;(-79.25, 4.00, -40.60)
[00:03:43] ;player_health;seniorcheese;291.32;400
