[00:02:28] ;player_status;Catalyst;Brigitte;(-26.12, -0.00, -36.63)
[00:02:28] ;player_health;Catalyst;200;200
[00:02:28] ;player_ult;Catalyst;1;0
[00:02:28] ;player_status;MortalWombat;Wrecking Ball;(19.83, -0.49, -55.12)
[00:02:28] ;player_health;MortalWombat;600;600
[00:02:28] ;player_ult;MortalWombat;1;0
[00:02:28] ;player_status;hypnobeam;Reinhardt;(-33.92, 2.83, -41.39)
[00:02:28] ;player_health;hypnobeam;550;550
[00:02:28] ;player_ult;hypnobeam;1;0
[00:02:28] ;player_status;Electric;Zenyatta;(46.84, 2.00, -41.16)
[00:02:28] ;player_health;Electric;200;200
[00:02:28] ;player_ult;Electric;1;0
[00:02:28] ;player_status;seniorcheese;D.Va;(-20.52, 0.00, -39.37)
[00:02:28] ;player_health;seniorcheese;600;600
[00:02:28] ;player_ult;seniorcheese;1;0
[00:02:29] ;player_status;teejusb;Pharah;(24.75, 30.24, -29.11)
[00:02:29] ;player_health;teejusb;200;200
[00:02:29] ;player_ult;teejusb;1;0
[00:02:29] ;player_status;ModWilliam;Echo;(25.00, 8.09, -27.63)
[00:02:29] ;player_health;ModWilliam;200;200
[00:02:29] ;player_ult;ModWilliam;1;0
[00:02:29] ;player_status;Midreadias;Sigma;(36.88, 1.07, -41.53)
[00:02:29] ;player_health;Midreadias;400;400
[00:02:29] ;player_ult;Midreadias;1;0
[00:02:29] ;player_status;BiggieZ;Symmetra;(-22.19, -0.00, -40.65)
[00:02:29] ;player_health;BiggieZ;225;225
[00:02:29] ;player_ult;BiggieZ;2;0
[00:02:29] ;player_status;jhan;Tracer;(-24.46, 0.00, -40.85)
[00:02:29] ;player_health;jhan;150;150
[00:02:29] ;player_ult;jhan;2;0
[00:02:29] ;player_status;Yomi;Lúcio;(-31.44, 2.37, -41.16)
[00:02:29] ;player_health;Yomi;200;200
[00:02:29] ;player_ult;Yomi;1;0
[00:02:29] ;player_status;JohnnyB;Mercy;(32.99, 33.90, -30.18)
[00:02:29] ;player_health;JohnnyB;200;200
[00:02:29] ;player_ult;JohnnyB;1;0
[00:02:29] ;player_status;Catalyst;Brigitte;(-23.01, 0.00, -40.17)
[00:02:29] ;player_health;Catalyst;200;200
[00:02:29] ;player_ult;Catalyst;1;0
[00:02:29] ;player_status;MortalWombat;Wrecking Ball;(15.08, -1.49, -62.69)
[00:02:29] ;player_health;MortalWombat;600;600
[00:02:29] ;player_ult;MortalWombat;2;0
[00:02:29] ;player_status;hypnobeam;Reinhardt;(-27.04, 0.34, -40.83)
[00:02:29] ;player_health;hypnobeam;550;550
[00:02:29] ;player_ult;hypnobeam;2;0
[00:02:29] ;player_status;Electric;Zenyatta;(41.47, 2.00, -42.56)
[00:02:29] ;player_health;Electric;200;200
[00:02:29] ;player_ult;Electric;1;0
[00:02:29] ;player_status;seniorcheese;D.Va;(-17.47, -0.14, -37.60)
[00:02:29] ;player_health;seniorcheese;600;600
[00:02:29] ;player_ult;seniorcheese;2;0
[00:02:29] ;damage_dealt;ModWilliam;12;seniorcheese
[00:02:29] ;damage_dealt;ModWilliam;24;seniorcheese
[00:02:29] ;damage_dealt;ModWilliam;12;seniorcheese
[00:02:30] ;used_ability_1;BiggieZ;Symmetra;<Icon>
[00:02:30] ;player_status;teejusb;Pharah;(19.59, 26.85, -30.96)
[00:02:30] ;player_health;teejusb;200;200
[00:02:30] ;player_ult;teejusb;1;0
[00:02:30] ;player_status;ModWilliam;Echo;(22.62, 6.98, -30.07)
[00:02:30] ;player_health;ModWilliam;200;200
[00:02:30] ;player_ult;ModWilliam;4;0
[00:02:30] ;player_status;Midreadias;Sigma;(31.58, 0.00, -41.48)
[00:02:30] ;player_health;Midreadias;400;400
[00:02:30] ;player_ult;Midreadias;2;0
[00:02:30] ;player_status;BiggieZ;Symmetra;(-25.53, -0.00, -36.73)
[00:02:30] ;player_health;BiggieZ;225;225
[00:02:30] ;player_ult;BiggieZ;2;0
[00:02:30] ;player_status;jhan;Tracer;(-24.58, 0.00, -42.19)
[00:02:30] ;player_health;jhan;150;150
[00:02:30] ;player_ult;jhan;3;0
[00:02:30] ;player_status;Yomi;Lúcio;(-25.11, 0.00, -40.53)
[00:02:30] ;player_health;Yomi;200;200
[00:02:30] ;player_ult;Yomi;1;0
[00:02:30] ;player_status;JohnnyB;Mercy;(32.57, 31.88, -29.92)
[00:02:30] ;player_health;JohnnyB;200;200
[00:02:30] ;player_ult;JohnnyB;2;0
[00:02:30] ;player_status;Catalyst;Brigitte;(-21.68, 0.00, -42.64)
[00:02:30] ;player_health;Catalyst;200;200
[00:02:30] ;player_ult;Catalyst;1;0
[00:02:30] ;player_status;MortalWombat;Wrecking Ball;(9.42, -1.00, -67.96)
[00:02:30] ;player_health;MortalWombat;600;600
[00:02:30] ;player_ult;MortalWombat;2;0
[00:02:30] ;player_status;hypnobeam;Reinhardt;(-21.17, 0.06, -40.57)
[00:02:30] ;player_health;hypnobeam;550;550
[00:02:30] ;player_ult;hypnobeam;2;0
