[00:03:18] ;player_status;Electric;Zenyatta;(4.90, 1.92, 89.64)
[00:03:18] ;player_health;Electric;200;200
[00:03:18] ;player_ult;Electric;1;0
[00:03:18] ;player_status;seniorcheese;D.Va;(-8.57, 6.09, 41.66)
[00:03:18] ;player_health;seniorcheese;600;600
[00:03:18] ;player_ult;seniorcheese;1;0
[00:03:18] ;player_status;Midreadias;Zarya;(-10.87, 1.27, 78.04)
[00:03:18] ;player_health;Midreadias;400;400
[00:03:18] ;player_ult;Midreadias;1;0
[00:03:18] ;player_status;Catalyst;Ana;(-5.12, -5.72, 24.05)
[00:03:18] ;player_health;Catalyst;200;200
[00:03:18] ;player_ult;Catalyst;1;0
[00:03:18] ;player_status;teejusb;Ashe;(-0.03, 1.92, 94.39)
[00:03:18] ;player_health;teejusb;200;200
[00:03:18] ;player_ult;teejusb;1;0
[00:03:18] ;player_status;JohnnyB;Ana;(-26.12, 2.02, 104.00)
[00:03:18] ;player_health;JohnnyB;200;200
[00:03:18] ;player_ult;JohnnyB;1;0
[00:03:18] ;player_status;MortalWombat;Winston;(9.46, -2.75, 67.27)
[00:03:18] ;player_health;MortalWombat;500;500
[00:03:18] ;player_ult;MortalWombat;1;0
[00:03:18] ;player_status;hypnobeam;Winston;(-15.36, -4.49, 24.88)
[00:03:18] ;player_health;hypnobeam;500;500
[00:03:18] ;player_ult;hypnobeam;1;0
[00:03:19] ;player_status;BiggieZ;Sombra;(-21.45, -2.70, 46.62)
[00:03:19] ;player_health;BiggieZ;200;200
[00:03:19] ;player_ult;BiggieZ;2;0
[00:03:19] ;player_status;Yomi;Lúcio;(-12.46, -5.79, 23.62)
[00:03:19] ;player_health;Yomi;200;200
[00:03:19] ;player_ult;Yomi;1;0
[00:03:19] ;player_status;jhan;Tracer;(-13.15, -4.23, 32.87)
[00:03:19] ;player_health;jhan;150;150
[00:03:19] ;player_ult;jhan;2;0
[00:03:19] ;player_status;burninate;Tracer;(-28.31, -1.32, 53.74)
[00:03:19] ;player_health;burninate;150;150
[00:03:19] ;player_ult;burninate;2;0
[00:03:19] ;player_status;Electric;Zenyatta;(3.67, 1.92, 88.74)
[00:03:19] ;player_health;Electric;200;200
[00:03:19] ;player_ult;Electric;1;0
[00:03:19] ;player_status;seniorcheese;D.Va;(-13.80, 5.04, 42.91)
[00:03:19] ;player_health;seniorcheese;600;600
[00:03:19] ;player_ult;seniorcheese;1;0
[00:03:19] ;player_status;Midreadias;Zarya;(-10.43, 1.27, 77.98)
[00:03:19] ;player_health;Midreadias;400;400
[00:03:19] ;player_ult;Midreadias;1;0
[00:03:19] ;player_status;Catalyst;Ana;(-7.31, -4.23, 28.80)
[00:03:19] ;player_health;Catalyst;200;200
[00:03:19] ;player_ult;Catalyst;1;0
[00:03:19] ;player_status;teejusb;Ashe;(-0.79, 1.92, 92.88)
[00:03:19] ;player_health;teejusb;200;200
[00:03:19] ;player_ult;teejusb;1;0
[00:03:19] ;player_status;JohnnyB;Ana;(-26.86, 2.02, 103.79)
[00:03:19] ;player_health;JohnnyB;200;200
[00:03:19] ;player_ult;JohnnyB;1;0
[00:03:19] ;player_status;MortalWombat;Winston;(9.46, -2.75, 67.27)
[00:03:19] ;player_health;MortalWombat;500;500
[00:03:19] ;player_ult;MortalWombat;1;0
[00:03:19] ;player_status;hypnobeam;Winston;(-19.37, -5.26, 28.02)
[00:03:19] ;player_health;hypnobeam;500;500
[00:03:19] ;player_ult;hypnobeam;1;0
[00:03:20] ;player_status;BiggieZ;Sombra;(-15.60, -3.44, 51.54)
[00:03:20] ;player_health;BiggieZ;200;200
[00:03:20] ;player_ult;BiggieZ;2;0
[00:03:20] ;player_status;Yomi;Lúcio;(-17.07, -5.37, 25.95)
[00:03:20] ;player_health;Yomi;200;200
[00:03:20] ;player_ult;Yomi;1;0
[00:03:20] ;player_status;jhan;Tracer;(-17.32, -4.37, 36.10)
[00:03:20] ;player_health;jhan;150;150
[00:03:20] ;player_ult;jhan;2;0
[00:03:20] ;player_status;burninate;Tracer;(-28.63, -1.06, 54.07)
